"Shoe Number","Visit Drop of Number","Engaged in Activities","Hours spent per Week","Anticipated Participation","Number of Steps","Notes","Hours Worn per Week","Hours Worn per Week Range10","Percent Time in Study Shoes of Total Time Wearing Shoes","Grassy Surfaces","Grassy Surfaces Clean","Indoor Surfaces","Indoor Surfaces Clean","Rocky Surfaces","Rocky Surfaces Clean","Muddy or Other Wet Surfaces","Muddy or Other Wet Surfaces Clean","Pavement Cement or Similar","Pavement Cement or Similar Clean","Sport Activities","Sport Activities Clean","Walking","Walking Clean","Dancing","Dancing Clean","Climbing","Climbing Clean","Hiking","Hiking Clean","Biking","Biking Clean"
"155","2","""Sports activities, Walking""","3-6 hours per week","Once to three times a week","180672","""NA""","8","0-10","20-40%","0.1","10","0.05","5","0.05","5","0.2","20","0.6","60","0","0","4","100","0","0","0","0","0","0","0","0"
"103","1","""Sports activities, Walking, Hiking""","More than 6 hours per week","4-6 times a week","429484","""4 rolled over count""","40","31-40","80-100%","0.05","5","0.7","70","0","0","0","0","0.25","25","6","37.5","10","62.5","0","0","0","0","0","0","0","0"
"70","2","""Sports activities, Walking, Hiking""","3-6 hours per week","All the time","100224","""NA""","NA","NA","NA","0.3","30","0.4","40","0","0","0.1","10","0.2","20","10-12 times","18.96551724","40-50 times","77.5862069","0","0","0","0","0","0","2 times","3.448275862"
"42","2","""Sports activities, Walking""","More than 6 hours per week","All the time","204957","""NA""","NA","NA","0-20%","0.15","13.63636364","0.1","9.090909091","0.05","4.545454545","0.1","9.090909091","0.7","63.63636364","2","14.28571429","12","85.71428571","0","0","0","0","0","0","0","0"
"113","3","""Sports activities, Walking""","3-6 hours per week","All the time","41108","""NA""","4","0-10","20-40%","0.0","0","0.4","40","0","0","0","0","0.6","60","2","28.57142857","5","71.42857143","0","0","0","0","0","0","0","0"
"159","1","""Walking""","3-6 hours per week","4-6 times a week","52873","""NA""","about 12 to 15","NA","20-40%","0.05","5","0.3","30","0.05","5","0.2","20","0.4","40","0 to 1","14.28571429","2 to 3","71.42857143","0 to 1","14.28571429","0","0","0","0","0","0"
"115","0","""""","","","0",""""""
"11","1","""Walking, Hiking""","1-3 hours per week","Once to three times a week","78153","""""0 rollovers""""","16"," 11-20 ","20-40%","0.0","0","0.2","20","0.1","10","0.6","60","0.1","10","0","0","yes","-50","0","0","0","0","yes","-50","0","0"
"30","3","""Walking""","3-6 hours per week","4-6 times a week","326989","""one rollover""","30","21-30","40-60%","0.0","0","0.6","60","0","0","0","0","0.4","40","0","0","7","100","0","0","0","0","0","0","0","0"
"64","0","""""","","","0",""""""
"18","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","117283","""NA""","2 to 3 ","0-10","20-40%","0.0","0","2 hours a week","66.66666667","0","0","0","0","1 hour a week ","33.33333333","2","66.66666667","1","33.33333333","0","0","0","0","0","0","0","0"
"63","1","""Walking""","3-6 hours per week","All the time","85928","""NA""","40 to 50","41-50","40-60%","0.1","10","0.3","30","0.05","5","0.15","15","0.4","40","2","40","3","60","0","0","0","0","0","0","0","0"
"63","3","""Walking""","3-6 hours per week","All the time","339239","""NA""","85","81-90","40-60%","40.0","40","30","30","0","0","20","20","10","10","2","18.18181818","9","81.81818182","0","0","0","0","0","0","0","0"
"4","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","98533","""NA""","16"," 11-20","20-40%","0.05","5","0.8","80","0","0","0.05","5","0.1","10","0.4","40","0.5","50","0","0","0","0","0.1","10","0","0"
"47","1","""Walking, Dancing""","More than 6 hours per week","4-6 times a week","42642","""""reset once/died once"," No rollover""""","12"," 11-20","20-40%","10.0","11.11111111","40","44.44444444","0","0","0","0","40","44.44444444","0","0","3","100","0","0","0","0","0","0","0","0"
"131","1","""Sports activities, Walking, Hiking""","More than 6 hours per week","All the time","163186","""one rollover""","NA","NA","NA","0 to 20%","7.692307692","40 to 60%","38.46153846","0 to 20%","7.692307692","0 to 20%","7.692307692","40 to 60%","38.46153846","2","18.18181818","5","45.45454545","0","0","0","0","0","0","4","36.36363636"
"46","2","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","172904","""NA""","NA","NA","20-40%","0.0","0","60","60","0","0","40","40","0","0","10","10","80","80","0","0","0","0","0","0","10","10"
"160","0","""""","","","0",""""""
"105","1","""Walking""","1-3 hours per week","4-6 times a week","163332","""1 rollover ""","NA","NA","80-100%","0.01","1","0.01","1","0.03","3","0.1","10","0.85","85","0","0","6","100","0","0","0","0","0","0","0","0"
"58","2","""Walking, Hiking""","3-6 hours per week","4-6 times a week","451120","""no rollover""","NA","NA","40-60%","0.0","0","0.95","95","0","0","0.05","5","0","0","0","0","25","100","0","0","0","0","0","0","0","0"
"37","2","""Sports activities, Walking, Climbing, Hiking""","3-6 hours per week","4-6 times a week","179381","""put 15-20 for average hours shoes were worn""","15 to 20 hours"," 11-20","80-100%","0.0","0","0.9","46.63212435","0.1","5.18134715","0.03","1.554404145","0.9","46.63212435","2 hours aprox","18.18181818","at least 8 hours","72.72727273","1","9.090909091","0","0","0","0","0","0"
"19","3","""Walking""","3-6 hours per week","4-6 times a week","264307","""NA""","NA","NA","20-40%","0.0","0","90","90","0","0","0","0","10","10","0","0","3","100","0","0","0","0","0","0","0","0"
"54","2","""Sports activities, Walking, Dancing, Hiking""","More than 6 hours per week","All the time","312990","""1 rollover""","30","21-30","80-100%","10.0","10","60","60","5","5","5","5","20","20","6","37.5","7","43.75","1","6.25","0","0","1","6.25","1","6.25"
"71","2","""Sports activities, Walking""","3-6 hours per week","All the time","107900","""0 rollovers""","35","31-40","60-80%","0.0","0","0","0","0.6","60","0.2","20","0.2","20","50% (5)","50","50% (7)","50","0","0","0","0","0","0","0","0"
"87","1","""Walking, Hiking""","3-6 hours per week","All the time","70071","""NA""","80","71-80","20-40%","0.0","0","0.35","35","0.05","5","0.3","30","0.3","30","0.3","30","0.6","60","0.1","10","0","0","0","0","0","0"
"89","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","105194","""Rolled over once""","20"," 11-20","40-60%","0.0","0","10","50","0","0","2","10","8","40","4","33.33333333","8","66.66666667","0","0","0","0","0","0","0","0"
"32","0","""""","","","0",""""""
"35","3","""Sports activities, Walking""","1-3 hours per week","All the time","444926","""1 rollover""","6","0-10","80-100%","1 over 10","10","1 over 10","10","0","0","1 over 10","10","7 over 10","70","3 times","25","7 times","58.33333333","2 times","16.66666667","0","0","0","0","0","0"
"129","2","""Sports activities, Walking""","3-6 hours per week","All the time","135137","""NA""","NA","NA","20-40%","0.0","0","0.2","20","0","0","0","0","0.8","80","1 hour","20","4 hours","80","0","0","0","0","0","0","0","0"
"101","3","""Walking, Hiking""","3-6 hours per week","4-6 times a week","272247","""one rollover""","30","21-30","20-40%","3hr","10","20hr","66.66666667","1hr","3.3333333","1hr","3.333333333","5hr","16.66666667","0","0","5","83.33333333","0","0","0","0","1","16.66666667","0","0"
"65","3","""Sports activities, Walking, Climbing, Hiking""","More than 6 hours per week","All the time","560802","""NA""","10 to 15"," 11-20","20-40%","20.0","20","60","60","10","10","0","0","10","10","0","0","90","90","0","0","0","0","10","10","0","0"
"115","1","""Walking""","1-3 hours per week","4-6 times a week","101097","""1 rollover ""","NA","NA","60-80%","0.0","0","0.8","80","0","0","0","0","0.2","20","2","18.18181818","8 to 10","81.81818182","0","0","0","0","0","0","0","0"
"25","1","""Walking""","1-3 hours per week","Once to three times a week","78690","""NA""","NA","NA","NA","0 to 20 ","10","20 to 40 ","30","0","0","0 to 20 ","10","40 to 60 ","50","0","0","3","100","0","0","0","0","0","0","0","0"
"84","2","""Sports activities, Walking, Dancing, Climbing, Hiking""","More than 6 hours per week","4-6 times a week","103948","""NA""","72","71-80","40-60%","0.0","0","0.4","40","0","0","0.1","10","0.5","50","0","0","4","100","0","0","0","0","0","0","0","0"
"159","2","""Walking""","3-6 hours per week","4-6 times a week","188873","""NA""","22","21-30","20-40%","0.05","5","0.15","15","0.1","10","0.2","20","0.5","50","1 to 2","18.75","3 to 5","50","2 to 3","31.25","0","0","0","0","0","0"
"83","1","""Walking""","3-6 hours per week","4-6 times a week","42568","""NA""","12"," 11-20","20-40%","0.0","0","0.8","80","0","0","0.05","5","0.15","15","0","0","4-5 times/week","100","0","0","0","0","0","0","0","0"
"32","3","""Sports activities, Walking, Hiking""","1-3 hours per week","Once to three times a week","360982","""1 rollover""","NA","NA","20-40%","10.0","10","30","30","0","0","10","10","50","50","2 to 3","35.71428571","4 to 5","64.28571429","0","0","0","0","0","0","0","0"
"24","1","""Walking""","More than 6 hours per week","4-6 times a week","181091","""NA""","8?","NA","20-40%","0.4","40","0.1","10","0.1","10","0.1","10","0.3","30","0","0","1","100","0","0","0","0","0","0","0","0"
"58","1","""Walking, Hiking""","3-6 hours per week","4-6 times a week","390668","""3 roll overs""","NA","NA","60-80%","5.0","5","70","70","10","10","5","5","10","10","1","16.66666667","5","83.33333333","0","0","0","0","0","0","0","0"
"122","0","""""","","","0",""""""
"12","0","""""","","","0",""""""
"92","2","""Sports activities, Walking, Dancing, Hiking""","More than 6 hours per week","4-6 times a week","234852","""NA""","24","21-30","20-40%","0.0","0","80","80","0","0","10","10","10","10","0","0","100","100","0","0","0","0","0","0","0","0"
"67","2","""Walking""","1-3 hours per week","4-6 times a week","327398","""NA""","35","31-40","20-40%","0.0","0","0.6","60","0","0","0.1","10","0.3","30","3","10.71422857","25","89.28571429","0","0","0","0","0","0","0","0"
"112","1","""Walking, Climbing, Hiking""","More than 6 hours per week","All the time","148350","""1 rollover""","25 to 30","21-30","40-60%","0.05","5","0.25","25","0.1","10","0.1","10","0.5","50","2","22.22222222","3","3.333333333","0","0","0","0","3","3.3333333","1","11.11111111"
"53","1","""Walking""","3-6 hours per week","All the time","230314","""2 times rolled over""","72","71-80","40-60%","0.4","21.62162162","0.6","32.43243243","0.1","5.405405405","0.05","2.702702703","0.7","37.83783784","5","50","5","50","0","0","0","0","0","0","0","0"
"147","0","""""","","","0",""""""
"90","3","""Walking, Dancing""","3-6 hours per week","4-6 times a week","140933","""NA""","1.5","0-10","20-40%","10.0","10","40","40","5","5","5","5","40","40","3","42.85742857","3","42.85742857","1","14.28571429","0","0","0","0","0","0"
"102","0","""""","","","0",""""""
"77","0","""""","","","0",""""""
"39","3","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","189269","""NA""","NA","NA","NA","5.0","5","70","70","10","10","5","5","10","10","4","57.14285714","2","28.57142857","0","0","0","0","1","14.28571429","0","0"
"78","2","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","155910","""1 rollover""","40+","NA","20-40%","0.1","10","0.2","20","0.1","10","0.1","10","0.5","50","5","9.090909091","30+","54.54545455","0","0","0","0","0","0","20+","36.36363636"
"29","3","""Walking, Climbing, Hiking""","More than 6 hours per week","All the time","484008","""3 roll overs""","14 to 20"," 11-20","60-80%","10.0","10","20","20","10","10","10","10","50","50","3","21.42857143","7","50","0","0","1","7.142857143","2","14.28571429","1","7.142857143"
"6","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","279998","""""Reset While in bag when I was bringing it in.""""","40"," 31-40","60-80%","5.0","5","65","65","5","5","10","10","15","15","1","50","1","50","0","0","0","0","0","0","0","0"
"27","2","""Sports activities, Walking""","More than 6 hours per week","All the time","135140","""NA""","8","0-10","20-40%","0.0","0","0.45","45","0.05","5","0","0","0.5","50","0","0","30","100","0","0","0","0","0","0","0","0"
"96","2","""Sports activities, Walking, Dancing""","3-6 hours per week","All the time","270610","""NA""","40","31-40","40-60%","0.1","10","0.8","80","0","0","0","0","0.1","10","3","60","0","0","0","0","0","0","0","0","2","40"
"93","3","""Walking, Dancing, Hiking""","1-3 hours per week","4-6 times a week","468927","""NA""","6","0-10","20-40%","0.0","0","0.2","20","0","0","0","0","0.8","80","0","0","4 to 5","81.81818182","1","18.18181818","0","0","0","0","0","0"
"87","2","""Walking, Hiking""","3-6 hours per week","All the time","132871","""NA""","65","61-70","40-60%","0.05","5","0.35","35","0.1","10","0.2","20","0.3","30","0.2","20","0.6","60","0","0","0.1","10","0.1","10","0","0"
"11","3","""Walking, Hiking""","1-3 hours per week","Once to three times a week","149456","""NA""","8","0-10","0-20%","0.0","0","0.3","30","0","0","0","0","0.7","70","0","0","1","100","0","0","0","0","0","0","0","0"
"4","0","""""","","","0",""""""
"116","0","""""","","","0",""""""
"118","2","""Sports activities, Walking, Hiking""","3-6 hours per week","All the time","243858","""1 rollover""","32","31-40","60-80%","0.2","20","0.2","20","0","0","0.1","10","0.5","50","0","0","10","83.33333333","0","0","0","0","0","0","2","16.66666667"
"57","0","""""","","","0",""""""
"78","3","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","276418","""NA""","15+","NA","20-40%","0.6","60","0.1","10","0.1","10","0","0","0.2","20","6+","28.57142857","10+","47.61904762","0","0","0","0","0","0","5+","23.80952381"
"49","2","""Walking""","3-6 hours per week","4-6 times a week","258673","""NA""","30","21-30","40-60%","10.0","10","50","50","10","10","0","0","30","30","0","0","25","100","0","0","0","0","0","0","0","0"
"88","3","""Walking""","3-6 hours per week","4-6 times a week","268676","""NA""","3","0-10","0-20%","0.0","0","1","100","0","0","0","0","0","0","0","0","1","100","0","0","0","0","0","0","0","0"
"45","1","""Sports activities, Walking""","1-3 hours per week","Once to three times a week","182135","""rolled over 1 time""","5 to 7","0-10","20-40%","0.0","0","0.5","50","0.1","10","0","0","0.4","40","yes","-50","yes","-50","0","0","0","0","yes","-50","0","0"
"95","2","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","202387","""NA""","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"101","1","""Walking, Hiking""","3-6 hours per week","4-6 times a week","19575","""no rollovers""","20"," 11-20","20-40%","0.0","0","80","80","0","0","10","10","10","10","none","0","all","100","none","0","none","0","none","0","none","0"
"66","2","""Sports activities, Walking, Dancing, Hiking""","3-6 hours per week","Once to three times a week","61769","""NA""","4.5","0-10","0-20%","0.2","20","0.2","20","0","0","0.2","20","0.4","40","0","0","2","100","0","0","0","0","0","0","0","0"
"117","2","""Sports activities, Walking, Dancing""","1-3 hours per week","Once to three times a week","218370","""NA""","20"," 11-20","40-60%","0.05","5","0.6","60","0","0","0.05","5","0.3","30","1 hour a week","NA","3 days a week","NA","0","0","0","0","0","0","0","0"
"125","1","""Walking""","3-6 hours per week","All the time","185613","""NA""","48","41-50","60-80%","0.005","0.5","0.93","93","5.00E-03","0.5","0.01","1","0.05","5","1/day","14.28571429","6/day","85.71428557","0","0","0","0","0","0","0","0"
"63","0","""""","","","0",""""""
"66","3","""Sports activities, Walking, Dancing, Hiking""","3-6 hours per week","Once to three times a week","93070","""NA""","2 times","0-10","20-40%","0.4","40","0.1","10","0.05","5","0.05","5","0.4","40","0","0","2","50","0","0","0","0","2","50","0","0"
"89","0","""""","","","0",""""""
"153","0","""""","","","0",""""""
"112","2","""Walking, Climbing, Hiking""","More than 6 hours per week","All the time","249678","""1 rollover""","56","51-60","60-80%","0.1","12.5","0.1","12.5","0.3","37.5","0.2","25","0.1","12.5","0","0","15","50","0","0","2","6.666666667","3","10","10","33.33333333"
"71","0","""""","","","0",""""""
"109","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","363725","""one rollover""","32 to 45 ","31-40","40-60%","0.15","15","0.3","30","0.05","5","0.1","10","0.4","40","2","25","4 to 5 days","56.25","0","0","0","0","0","0","1 to 2","18.75"
"65","2","""Sports activities, Walking, Climbing, Hiking""","More than 6 hours per week","All the time","460421","""NA""","5","0-10","40-60%","0.0","0","60","60","10","10","0","0","30","30","5","50","5","50","0","0","0","0","0","0","0","0"
"40","2","""Walking, Hiking""","More than 6 hours per week","4-6 times a week","187854","""Despite this survey not having a visit number or  date, the forms for the 1st and 3rd visits are present and date/visit are available. It was concluded that this survey was from visit 2.        - JEK""","NA","NA","20-40%","5.0","5","60","60","0","0","5","5","30","30","0","0","7","77.77777778","0","0","0","0","1","11.11111111","1","11.11111111"
"20","3","""Walking, Dancing""","1-3 hours per week","4-6 times a week","207275","""NA""","NA","NA","40-60%","10.0","10","50","50","0","0","10","10","30","30","0","0","4 to 5","100","0","0","0","0","0","0","0","0"
"90","0","""""","","","0",""""""
"114","2","""Walking, Dancing""","3-6 hours per week","4-6 times a week","76661","""NA""","16"," 11-20","0-20%???","0.0","0","0.75","73.17073171","0","0","less than 5%","4.87804878","20% to 25%","21.95121951","1 time a week every other week","12.5","3 to 4 times a week","87.5","0","0","0","0","0","0","0","0"
"5","3","""Sports activities, Walking""","3-6 hours per week","All the time","1710059","""5 Rollovers""","56","51-60","80-100%","0.0","0","0.9","90","0","0","0.05","5","0.05","5","7","41.17647059","7","41.17647059","0","0","0","0","0","0","3","17.64705882"
"98","1","""Sports activities, Walking, Hiking""","3-6 hours per week","All the time","300036","""3 roll overs""","60","51-60","60-80%","0.1","10","0.35","35","0.1","10","0.25","25","0.2","20","0","0",">4 days - 5 days","81.81818182","0","0","0","0","0","0","1 day","18.18181818"
"17","1","""Walking""","1-3 hours per week","Once to three times a week","163726","""""reset once at 95944""""","3","0-10","40-60%","0.05","5","0.25","25","0.05","5","0.05","5","0.6","60","1 out of 7 ","14.28571429","6 out of 7","85.71428571","0 out of 7","0","0 out of 7","0","0 out of 7","0","0 out of 7","0"
"107","2","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","166816","""NA""","NA","NA","40-60%","0.0","0","0.4","40","0.05","5","0.15","15","0.4","40","0.1","10","0.8","80","0","0","0","0","0.1","10","0","0"
"82","2","""Sports activities, Walking, Dancing""","More than 6 hours per week","4-6 times a week","183020","""NA""","4","0-10","20-40%","0.1","10","0.5","50","0","0","0.1","10","0.3","30","3","42.85714286","3","42.85714286","1","14.28571429","0","0","0","0","0","0"
"96","3","""Sports activities, Walking, Dancing""","3-6 hours per week","All the time","524690","""rolled over twice""","40","31-40","60-80%","0.1","10","0.8","80","0","0","0","0","0.1","10","5","45.45454545","5","45.45454545","0","0","0","0","0","0","1","9.090909091"
"110","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","131313","""Reset ""","20 to 25","21-25","20-40%","0.0","0","0.2","20","0","0","0.05","5","0.75","75","2 hrs/wk","9.090909091","20 hrs/wk","90.90909091","0","0","0","0","0","0","0","0"
"82","0","""""","","","0",""""""
"89","2","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","1606256","""15 rollover""","40","31-40","80-100%","0.1","10","0.2","20","0","0","0.2","20","0.5","50","3","30","7","70","0","0","0","0","0","0","0","0"
"59","3","""Walking""","3-6 hours per week","All the time","302552","""wore them in mascot shoe/feet""","NA","NA","60-80%","0.0","0","50","55.55555556","0","0","0","0","40","44.44444444","0","0","1","100","0","0","0","0","0","0","0","0"
"143","1","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","79844","""NA""","20"," 11-20","20-40%","0.05","5","0.05","5","0.05","5","0.35","35","0.5","50","1","33.33333333","2","60.66666667","0","0","0","0","0","0","0","0"
"66","1","""Sports activities, Walking, Dancing, Hiking""","3-6 hours per week","Once to three times a week","21532","""NA""","3.5","0-10","0-20%","0.15","15","0.1","10","0.05","5","0.3","30","0.4","40","1","25","3","75","0","0","0","0","0","0","0","0"
"26","3","""Sports activities, Walking, Climbing""","More than 6 hours per week","All the time","855000","""NA""","NA","NA","80-100%","5.0","5","40","40","5","5","10","10","40","40","20","8.474576271","200","84.74576271","10","4.237288136","1","0.423728814","5","2.118644068","0","0"
"102","1","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","56450","""NA""","20"," 11-20","20-40%","0.05","5","0.6","60","0.05","5","0.1","10","0.2","20","2","40","3","60","0","0","0","0","0","0","0","0"
"14","1","""Sports activities, Walking""","3-6 hours per week","Once to three times a week","65064","""reset""","NA","NA","20-40%","0.0","0","0.2","20","0","0","0","0","0.8","80","2","33.33333333","4","66.66666667","0","0","0","0","0","0","0","0"
"56","2","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","501827","""NA""","at least 30","NA","40-60%","0.1","10","0.6","60","0.05","5","0.15","15","0.1","10","1","14.28571429","4 days a week","57.14285714","0","0","0","0","2","28.57142857","0","0"
"41","3","""Walking, Climbing, Hiking""","More than 6 hours per week","Once to three times a week","310257","""one rollover""","25","21-30","60-80%","0.05","5","0.65","65","7.00E-02","7","0.03","3","0.2","20","60 min","42.85714286","60 min","42.85714286","0","0","0","0","0","0","20 min.","14.28571429"
"78","0","""""","","","0",""""""
"50","0","""""","","","0",""""""
"145","1","""Sports activities, Walking, Dancing""","More than 6 hours per week","All the time","145251","""NA""","15"," 11-20","40-60%","0.025","2.5","0.4","40","2.50E-02","2.5","0.05","5","0.5","50","4","26.66666667","7","46.66666667","2","13.33333333","0","0","2","13.33333333","0","0"
"52","0","""""","","","0",""""""
"103","0","""""","","","0",""""""
"111","1","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","101935","""1 rollover""","32","31-40","40-60%","0.0","0","0.8","80","0","0","0.05","5","0.15","15","3x","33.33333333","4x","44.44444444","-","0","-","0","-","0","2x","22.22222222"
"43","1","""Sports activities, Walking""","1-3 hours per week","All the time","80035","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"72","3","""Walking""","3-6 hours per week","4-6 times a week","216852","""NA""","4","0-10","40-60%","0.2","20","0.2","20","0.15","15","0.15","15","0.3","30","2","28.57142857","4","57.14285714","0","0","0","0","0","0","1","14.28571429"
"75","2","""Walking, Hiking""","3-6 hours per week","4-6 times a week","204095","""NA""","NA","NA","NA","5.0","5","75","75","0","0","0","0","20","20","3","42.85714286","4","57.14285714","0","0","0","0","0","0","0","0"
"39","2","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","175701","""NA""","10","0-10","NA","20.0","20","20","20","5","5","5","5","50","50","2","40","3","60","0","0","0","0","0","0","0","0"
"148","1","""Sports activities""","3-6 hours per week","4-6 times a week","108000","""NA""","10","0-10","NA","0.0","0","0.85","87.62886598","0","0","0.02","2.06185567","0.1","10.30927835","6 to 7","48.14814815","7","51.85185185","0","0","0","0","0","0","0","0"
"11","0","""""","","","0",""""""
"155","0","""""","","","0",""""""
"58","0","""""","","","0",""""""
"77","3","""Walking, Climbing, Hiking""","3-6 hours per week","All the time","545211","""2 rollovers""","14 hrs a day = 98 hours","91-100","80-100%","5.0","5","15","15","2.5","2.5","2.5","2.5","75","75","0","0","everyday to class","NA","0","NA","0","NA","1","NA","45 to 50","NA"
"69","3","""Walking, Hiking""","More than 6 hours per week","All the time","298081","""NA""","15"," 11-20","20-40%","5.0","5","70","70","0","0","0","0","25","25","25","25","75","75","0","0","0","0","0","0","0","0"
"136","2","""Sports activities, Walking, Hiking""","3-6 hours per week","Once to three times a week","181055","""NA""","25","21-30","20-40%","0.25","25","0.25","25","0.05","5","0.05","5","0.4","40","2","8","20","80","0","0","0","0","1","4","2","8"
"114","0","""""","","","0",""""""
"3","0","""""","","","0",""""""
"20","2","""Walking, Dancing""","1-3 hours per week","4-6 times a week","140025","""put 16-24 for average hours shoes were worn, not 100% sure on steps. The pemomiter reset twice""","16 to 24?","NA","20-40%","0.05","5","0.7","70","0","0","0.05","5","0.2","20","0","0","3 to 4 ","100","0","0","0","0","0","0","0","0"
